A	B
11.9	3.0
10.9	3.0
9.9	3.5
11.9	3.5
10.9	3.0
10.9	3.5
9.9	3.5
10.9	3.0
10.4	3.5
12.3	3.5
13.8	3.0
9.9	3.5
10.9	3.0
11.4	3.5
9.9	3.5
10.9	3.0
11.8	3.5
10.2	3.0
11.4	3.0
9.4	3.5
12.8	3.0
12.2	3.5
10.4	3.0
11.4	3.0
9.4	3.5
11.4	3.0
10.9	3.5
11.9	2.5
9.4	3.5
10.9	3.5
11.9	3.0
11.8	3.5
10.4	3.0
10.9	3.0
10.4	3.5
11.3	3.0
11.9	3.5
10.9	3.5
9.9	3.0
10.7	3.5
12.3	2.5
12.3	3.0
11.8	4.0
11.4	3.0
10.4	3.5
11.9	3.0
11.8	3.5
12.3	3.0
9.9	3.5
10.9	3.0
10.3	3.5
10.8	3.5
10.4	3.0
10.9	3.5
10.4	3.5
10.4	3.5
9.9	3.0
11.4	3.5
10.4	3.0
9.4	3.5
11.3	3.0
11.8	3.0
10.8	3.5
11.4	3.0
10.9	3.5
9.9	3.0
9.9	3.0
13.3	3.5
8.9	3.5
11.9	3.5
9.9	3.0
9.4	3.5
10.9	3.0
10.3	3.5
9.9	3.0
10.9	3.5
8.8	3.0
10.4	3.5
10.9	3.0
9.9	3.0
11.9	3.5
9.4	3.5
10.9	3.0
8.9	3.5
10.4	3.5
10.4	3.0
9.4	3.0
10.4	3.0
10.4	3.5
11.4	3.0
11.3	3.5
9.4	3.5
10.4	2.5
10.9	3.5
9.9	3.0
11.4	3.0
8.9	4.0
10.4	3.5
9.9	3.0
10.9	3.0
12.8	3.5
11.4	3.0
10.9	3.5
9.9	3.5
9.9	3.5
11.9	3.0
11.8	3.0
10.7	3.0
9.9	3.5
10.4	3.0
9.4	3.5
9.9	3.0
10.4	3.0
10.4	3.5
10.4	3.0
9.4	3.5
10.4	2.5
10.9	3.5
9.4	3.5
10.9	3.0
12.3	3.5
10.8	3.5
10.9	3.0
9.4	3.0
10.9	4.0
8.4	3.0
12.8	3.0
9.9	3.5
12.3	3.0
9.9	3.0
9.9	3.5
9.9	3.0
10.9	3.5
9.4	3.5
10.4	3.0
10.4	3.5
10.4	3.0
11.4	3.5
9.8	3.5
10.9	3.5
9.8	3.0
9.9	3.0
9.9	3.5
10.4	3.0
10.3	3.5
9.8	3.0
11.9	3.0
10.8	3.5
10.9	3.0
10.9	3.5
9.4	3.5
10.4	3.0
10.9	3.0
10.9	3.5
10.9	3.0
9.4	4.0
10.9	3.0
9.4	3.0
10.9	4.0
11.8	3.0
12.3	3.5
10.9	3.0
8.9	2.5
9.8	3.5
11.4	4.0
11.3	2.5
11.4	3.5
9.4	3.5
10.4	3.0
10.4	3.5
10.4	3.5
10.9	3.0
9.4	3.5
10.3	3.0
9.9	3.0
9.9	3.5
9.9	3.0
10.9	3.5
9.4	3.5
12.3	2.5
11.9	4.0
10.4	3.0
9.9	3.0
10.4	3.5
9.4	3.0
10.9	3.0
11.9	4.0
12.3	3.0
10.4	3.5
9.9	3.0
9.4	3.5
11.4	3.0
11.9	3.5
11.3	3.0
8.4	3.5
10.4	3.5
10.4	3.0
10.9	3.5
10.9	3.0
9.9	3.5
10.9	3.0
10.9	3.5
9.9	3.5
11.3	3.0
10.3	3.5
9.9	3.0
12.6	3.5
9.8	3.0
11.9	3.5
9.8	3.5
10.4	2.5
11.4	3.5
11.9	3.5
8.9	3.0
10.9	3.5
10.4	3.0
10.4	3.5
12.9	3.5
10.4	3.0
9.9	3.0
10.3	3.0
10.9	3.5
9.4	3.0
11.9	3.0
8.3	4.0
10.9	3.0
11.8	3.5
9.4	2.5
10.4	3.5
9.4	3.0
9.9	3.5
10.9	3.0
10.3	3.5
10.4	3.5
9.9	3.0
9.8	3.0
9.9	3.5
10.9	3.0
11.4	3.0
11.8	3.5
10.4	3.5
9.9	3.0
9.4	3.0
11.3	3.0
9.9	3.0
11.4	3.5
10.9	3.5
10.4	3.0
10.4	3.0
10.9	3.5
10.9	3.5
10.9	3.5
10.4	3.0
10.4	3.0
9.9	3.0
11.3	3.5
10.4	3.0
10.9	3.5
9.9	3.5
9.7	3.0
10.9	3.5
11.3	3.0
9.9	3.0
9.4	3.5
8.9	3.5
11.4	3.0
12.3	3.5
10.7	3.0
9.4	3.0
10.4	3.5
9.9	3.5
10.9	3.0
11.4	3.5
10.8	3.0
9.4	3.5
9.9	3.5
11.3	3.5
11.4	3.0
13.4	3.5
10.4	3.0
9.9	3.5
11.4	2.5
9.9	3.5
11.9	3.0
10.9	3.5
10.4	3.0
9.9	3.5
10.9	3.0
9.8	3.5
10.9	3.0
9.9	3.5
10.7	3.0
9.9	3.5
	3.0
	3.5
